repository,owner,name,adequacy_score,stars,forks,pushed_at,primary_language,workflow_count,has_test_commands_in_workflows,has_test_directory,bug_issues_total,bug_issues_open,bug_issues_closed,workflow_files
huggingface/transformers,huggingface,transformers,10,151269,30840,2025-10-18T11:57:41Z,Python,51,True,True,2500,113,2387,"['TROUBLESHOOT.md', 'add-model-like.yml', 'assign-reviewers.yml', 'benchmark.yml', 'benchmark_v2.yml', 'benchmark_v2_a10_caller.yml', 'benchmark_v2_mi325_caller.yml', 'build-ci-docker-images.yml', 'build-docker-images.yml', 'build-nightly-ci-docker-images.yml', 'build-past-ci-docker-images.yml', 'build_documentation.yml', 'build_pr_documentation.yml', 'check_failed_tests.yml', 'check_tiny_models.yml', 'collated-reports.yml', 'doctest_job.yml', 'doctests.yml', 'get-pr-info.yml', 'get-pr-number.yml', 'model_jobs.yml', 'model_jobs_intel_gaudi.yml', 'new_model_pr_merged_notification.yml', 'pr-style-bot.yml', 'pr_build_doc_with_comment.yml', 'pr_run_slow_ci.yml', 'push-important-models.yml', 'release-conda.yml', 'self-comment-ci.yml', 'self-nightly-caller.yml', 'self-nightly-past-ci-caller.yml', 'self-past-caller.yml', 'self-push-amd-mi210-caller.yml', 'self-push-amd-mi250-caller.yml', 'self-push-amd.yml', 'self-push-caller.yml', 'self-push.yml', 'self-scheduled-amd-caller.yml', 'self-scheduled-amd-mi250-caller.yml', 'self-scheduled-amd-mi325-caller.yml', 'self-scheduled-amd-mi355-caller.yml', 'self-scheduled-caller.yml', 'self-scheduled-intel-gaudi.yml', 'self-scheduled-intel-gaudi3-caller.yml', 'self-scheduled.yml', 'slack-report.yml', 'ssh-runner.yml', 'stale.yml', 'trufflehog.yml', 'update_metdata.yml', 'upload_pr_documentation.yml']"
vercel/next.js,vercel,next.js,10,135111,29597,2025-10-18T13:00:26Z,JavaScript,36,True,True,10039,1174,8865,"['build_and_deploy.yml', 'build_and_test.yml', 'build_reusable.yml', 'cancel.yml', 'code_freeze.yml', 'create_release_branch.yml', 'deploy_docs.yml', 'force_merge_canary_release_pr.yml', 'graphite_ci_optimizer.yml', 'integration_tests_reusable.yml', 'issue_lock.yml', 'issue_stale.yml', 'issue_wrong_template.yml', 'popular.yml', 'pull_request_stats.yml', 'release-next-rspack.yml', 'retry_deploy_test.yml', 'retry_test.yml', 'rspack-nextjs-build-integration-tests.yml', 'rspack-nextjs-dev-integration-tests.yml', 'rspack-update-tests-manifest.yml', 'setup-nextjs-build.yml', 'test-turbopack-rust-bench-test.yml', 'test_e2e_deploy_release.yml', 'test_e2e_project_reset_cron.yml', 'test_examples.yml', 'triage.yml', 'trigger_release.yml', 'trigger_release_new.yml', 'turbopack-benchmark.yml', 'turbopack-nextjs-build-integration-tests.yml', 'turbopack-nextjs-dev-integration-tests.yml', 'turbopack-update-tests-manifest.yml', 'update_fonts_data.yml', 'update_react.yml', 'upload-tests-manifest.yml']"
langflow-ai/langflow,langflow-ai,langflow,9,132980,7814,2025-10-18T01:25:45Z,Python,36,True,False,1656,251,1405,"['add-labels.yml', 'auto-update.yml', 'ci.yml', 'codeflash.yml', 'codeql.yml', 'conventional-labels.yml', 'create-release.yml', 'cross-platform-test.md', 'cross-platform-test.yml', 'deploy-docs-draft.yml', 'deploy_gh-pages.yml', 'docker-build-v2.yml', 'docker-build.yml', 'docker-nightly-build.yml', 'docker_test.yml', 'docs-update-openapi.yml', 'docs_test.yml', 'integration_tests.yml', 'jest_test.yml', 'js_autofix.yml', 'lint-js.yml', 'lint-py.yml', 'matchers', 'nightly_build.yml', 'py_autofix.yml', 'python_test.yml', 'release-lfx.yml', 'release.yml', 'release_nightly.yml', 'request-docs-review.yml', 'smoke-tests.yml', 'store_pytest_durations.yml', 'style-check-py.yml', 'template-tests.yml', 'typescript_test.yml', 'update-component-index.yml']"
pytorch/pytorch,pytorch,pytorch,9,94029,25598,2025-10-18T13:59:39Z,Python,123,True,True,0,0,0,"['_bazel-build-test.yml', '_binary-build-linux.yml', '_binary-test-linux.yml', '_binary-upload.yml', '_docs.yml', '_get-changed-files.yml', '_link_check.yml', '_linux-build.yml', '_linux-test-stable-fa3.yml', '_linux-test.yml', '_mac-build.yml', '_mac-test.yml', '_rocm-test.yml', '_runner-determinator.yml', '_win-build.yml', '_win-test.yml', '_xpu-test.yml', 'assigntome-docathon.yml', 'auto_request_review.yml', 'b200-distributed.yml', 'b200-symm-mem.yml', 'build-almalinux-images.yml', 'build-libtorch-images.yml', 'build-magma-linux.yml', 'build-magma-rocm-linux.yml', 'build-magma-windows.yml', 'build-manywheel-images-s390x.yml', 'build-manywheel-images.yml', 'build-triton-wheel.yml', 'build-vllm-wheel.yml', 'check-labels.yml', 'check_mergeability_ghstack.yml', 'cherry-pick.yml', 'close-nonexistent-disable-issues.yml', 'create_release.yml', 'delete_old_branches.yml', 'docathon-sync-label.yml', 'docker-builds.yml', 'docker-cache-mi300.yml', 'docker-release.yml', 'generated-linux-aarch64-binary-manywheel-nightly.yml', 'generated-linux-binary-libtorch-nightly.yml', 'generated-linux-binary-manywheel-nightly.yml', 'generated-linux-s390x-binary-manywheel-nightly.yml', 'generated-macos-arm64-binary-libtorch-release-nightly.yml', 'generated-macos-arm64-binary-wheel-nightly.yml', 'generated-windows-arm64-binary-libtorch-debug-nightly.yml', 'generated-windows-arm64-binary-libtorch-release-nightly.yml', 'generated-windows-arm64-binary-wheel-nightly.yml', 'generated-windows-binary-libtorch-debug-nightly.yml', 'generated-windows-binary-libtorch-release-nightly.yml', 'generated-windows-binary-wheel-nightly.yml', 'h100-cutlass-backend.yml', 'h100-distributed.yml', 'h100-symm-mem.yml', 'inductor-micro-benchmark-x86.yml', 'inductor-micro-benchmark.yml', 'inductor-nightly.yml', 'inductor-perf-compare.yml', 'inductor-perf-test-b200.yml', 'inductor-perf-test-nightly-aarch64.yml', 'inductor-perf-test-nightly-h100.yml', 'inductor-perf-test-nightly-macos.yml', 'inductor-perf-test-nightly-rocm-mi300.yml', 'inductor-perf-test-nightly-rocm-mi355.yml', 'inductor-perf-test-nightly-x86-zen.yml', 'inductor-perf-test-nightly-x86.yml', 'inductor-perf-test-nightly.yml', 'inductor-periodic.yml', 'inductor-rocm-mi300.yml', 'inductor-rocm.yml', 'inductor-unittest.yml', 'inductor.yml', 'lint-autoformat.yml', 'lint-bc.yml', 'lint.yml', 'linux-aarch64.yml', 'llm_td_retrieval.yml', 'mac-mps.yml', 'nightly-s3-uploads.yml', 'nightly.yml', 'nitpicker.yml', 'operator_benchmark.yml', 'operator_microbenchmark.yml', 'periodic-rocm-mi300.yml', 'periodic.yml', 'pull.yml', 'quantization-periodic.yml', 'revert.yml', 'riscv64.yml', 'rocm-mi300.yml', 'rocm-mi355.yml', 'rocm.yml', 'runner-determinator-validator.yml', 'runner_determinator_script_sync.yaml', 's390.yml', 's390x-periodic.yml', 'scorecards.yml', 'slow.yml', 'stale.yml', 'target-determination-indexer.yml', 'target_determination.yml', 'test-b200.yml', 'test-check-binary.yml', 'test-h100.yml', 'tools-unit-tests.yml', 'torchbench.yml', 'trunk-tagging.yml', 'trunk.yml', 'trymerge.yml', 'tryrebase.yml', 'unstable-periodic.yml', 'unstable.yml', 'update-viablestrict.yml', 'update_pytorch_labels.yml', 'upload-test-stats-while-running.yml', 'upload-test-stats.yml', 'upload-torch-dynamo-perf-stats.yml', 'upload_test_stats_intermediate.yml', 'vllm.yml', 'weekly.yml', 'win-arm64-build-test.yml', 'xpu.yml']"
apache/superset,apache,superset,9,68534,16015,2025-10-18T04:00:26Z,TypeScript,49,True,True,0,0,0,"['bashlib.sh', 'bump-python-package.yml', 'caches.js', 'cancel_duplicates.yml', 'check-python-deps.yml', 'check_db_migration_confict.yml', 'claude.yml', 'codeql-analysis.yml', 'dependency-review.yml', 'docker.yml', 'ecs-task-definition.json', 'embedded-sdk-release.yml', 'embedded-sdk-test.yml', 'ephemeral-env-pr-close.yml', 'ephemeral-env.yml', 'generate-FOSSA-report.yml', 'github-action-validator.sh', 'github-action-validator.yml', 'issue_creation.yml', 'labeler.yml', 'latest-release-tag.yml', 'license-check.yml', 'no-hold-label.yml', 'pr-lint.yml', 'pre-commit.yml', 'prefer-typescript.yml', 'release.yml', 'showtime-cleanup.yml', 'showtime-trigger.yml', 'superset-app-cli.yml', 'superset-applitool-cypress.yml', 'superset-applitools-storybook.yml', 'superset-docs-deploy.yml', 'superset-docs-verify.yml', 'superset-e2e.yml', 'superset-extensions-cli.yml', 'superset-frontend.yml', 'superset-helm-lint.yml', 'superset-helm-release.yml', 'superset-playwright.yml', 'superset-python-integrationtest.yml', 'superset-python-presto-hive.yml', 'superset-python-unittest.yml', 'superset-translations.yml', 'superset-websocket.yml', 'supersetbot.yml', 'tag-release.yml', 'tech-debt.yml', 'welcome-new-users.yml']"
expo/expo,expo,expo,9,44190,9301,2025-10-18T01:10:28Z,TypeScript,39,True,False,1082,1,1081,"['android-instrumentation-tests.yml', 'android-unit-tests.yml', 'bare-diffs.yml', 'check-issues-nightly.yml', 'cli.yml', 'client-android-eas.yml', 'client-ios-eas.yml', 'code-review.yml', 'codemention.yaml', 'commentator.yml', 'create-expo-app.yml', 'development-client-e2e.yml', 'development-client-latest-e2e.yml', 'development-client.yml', 'docs-pr-destroy.yml', 'docs-pr.yml', 'docs.yml', 'expotools.yml', 'fingerprint.yml', 'home.yml', 'ios-static-frameworks.yml', 'ios-unit-tests.yml', 'issue-closed.yml', 'issue-opened.yml', 'issue-stale.yml', 'issue-triage.yml', 'lock.yml', 'native-component-list.yml', 'pr-labeler.yml', 'publish-canaries.yml', 'router-e2e.yml', 'sdk.yml', 'sync-template.yml', 'test-react-native-nightly.yml', 'test-suite-lint.yml', 'test-suite-macos.yml', 'test-suite-nightly.yml', 'test-suite.yml', 'validate-npm-owners.yml']"
metabase/metabase,metabase,metabase,9,44159,5940,2025-10-18T12:19:37Z,Clojure,89,True,True,0,0,0,"['app-db.yml', 'athena.yml', 'auto-assign.yml', 'auto-backport.yml', 'backend-cloverage.yml', 'backend.yml', 'backport-reminder.yml', 'block-master-source-branch-prs.yml', 'build-for-release.yml', 'build-scripts.yml', 'check-backport-script.yml', 'check-milestone.yml', 'chromatic.yml', 'claude-code-bug-fix.yml', 'claude-code-review.yaml', 'clean-cache.yml', 'cljs.yml', 'codeql.yml', 'containerize-jar.yml', 'containerize-uberjar.yml', 'conventional-commit-pr-title-reminder.yml', 'coverage.yml', 'cross-branch-migrations.yml', 'docs-generate-base.yml', 'docs-links.yml', 'docs-master-generate.yml', 'docs-release-generate.yml', 'drivers-stress-test.yml', 'drivers.yml', 'e2e-component-tests-embedding-sdk-backward-compatibility.yml', 'e2e-component-tests-embedding-sdk.yml', 'e2e-cross-version.yml', 'e2e-embedding-sdk-compatibility-tests.yml', 'e2e-matrix-builder.yml', 'e2e-stress-test-flake-fix.yml', 'e2e-test.yml', 'e2e-tests.yml', 'embedding-sdk-labels-reminder.yml', 'embedding-sdk.yml', 'escalation-slack-notification.yml', 'frontend-unit-test-stress-test-flake-fix.yml', 'frontend.yml', 'fuzzing.yml', 'generative-query-test.yml', 'i18n.yml', 'linear-pr-links.yml', 'loki-update.yml', 'loki.yml', 'mage.yml', 'main.yml', 'mbql-library-changelog.yml', 'migrations.yml', 'optimize-images.yml', 'perf-test-labeled.yml', 'perf-test.yml', 'pr-env-close-unlabel.yml', 'pr-env-destroy.yml', 'pr-env-labeled.yml', 'pr-env.yml', 'pre-release.yml', 'presto-kerberos-integration-test.yml', 'pull-request-reminders.yml', 'release-embedding-sdk.yml', 'release-log.yml', 'release-milestone-check.yml', 'release-notes-preview.yml', 'release-patch.yml', 'release-status.yml', 'release-tag.yml', 'release-tests.yml', 'release.yml', 'rerun-workflows.yml', 'run-tests.yml', 'security-slack-notification.yml', 'semantic-search.yml', 'set-announce-url.yml', 'snowplow.yml', 'snyk.yml', 'stale.yml', 'tag-for-release.yml', 'team-issues-slack-notification.yml', 'translation-update.yml', 'tusk-sanity-check.yml', 'uberjar-containerize-labeled.yml', 'uberjar.yml', 'update-e2e-timings.yml', 'upgrade-deps.yml', 'whitespace.yml', 'yaml.yml']"
n8n-io/n8n,n8n-io,n8n,8,149849,47615,2025-10-17T21:31:13Z,TypeScript,41,True,False,0,0,0,"['benchmark-destroy-nightly.yml', 'benchmark-nightly.yml', 'build-windows.yml', 'check-documentation-urls.yml', 'check-pr-title.yml', 'check-run-eligibility.yml', 'chromatic.yml', 'ci-evals.yml', 'ci-master.yml', 'ci-postgres-mysql.yml', 'ci-pull-requests.yml', 'ci-python.yml', 'claude.yml', 'create-patch-release-branch.yaml', 'data-tooling.yml', 'docker-base-image.yml', 'docker-build-push.yml', 'docker-images-benchmark.yml', 'e2e-reusable.yml', 'e2e-tests-pr.yml', 'e2e-tests.yml', 'linting-reusable.yml', 'notify-pr-status.yml', 'playwright-nightly.yml', 'playwright-test-coverage.yml', 'playwright-test-docker-build.yml', 'playwright-test-docker-pull.yml', 'playwright-test-performance.yml', 'playwright-test-reusable.yml', 'release-create-pr.yml', 'release-publish.yml', 'release-push-to-channel.yml', 'release-standalone-package.yml', 'sbom-generation-callable.yml', 'security-trivy-scan-callable.yml', 'storybook.yml', 'sync-public-api-docs.yml', 'test-workflows-callable.yml', 'test-workflows-nightly.yml', 'test-workflows-pr-comment.yml', 'units-tests-reusable.yml']"
grafana/grafana,grafana,grafana,8,70389,13087,2025-10-18T14:01:28Z,TypeScript,82,True,False,0,0,0,"['actionlint-format.txt', 'actionlint.yml', 'add-to-whats-new.yml', 'alerting-swagger-gen.yml', 'alerting-update-module.yml', 'analytics-events-report.yml', 'auto-milestone.yml', 'auto-triager', 'backend-code-checks.yml', 'backend-unit-tests.yml', 'backport-trigger.yml', 'backport-workflow.yml', 'bump-version.yml', 'changelog.yml', 'cleanup-branches.yml', 'codeowners-validator.yml', 'codeql-analysis.yml', 'commands.yml', 'community-release.yml', 'core-plugins-build-and-release.yml', 'create-next-release-branch.yml', 'create-security-branch.yml', 'create-security-patch-from-security-mirror.yml', 'dashboards-issue-add-label.yml', 'deploy-pr-preview.yml', 'deploy-storybook-preview.yml', 'detect-breaking-changes-levitate.yml', 'detect-plugin-extension-changes.yml', 'documentation-ci.yml', 'ephemeral-instances-pr-comment.yml', 'feature-toggles-ci.yml', 'frontend-lint.yml', 'frontend-perf-tests.yaml', 'github-release.yml', 'go-lint.yml', 'i18n-crowdin-create-tasks.yml', 'i18n-crowdin-download.yml', 'i18n-crowdin-upload.yml', 'i18n-verify.yml', 'issue-opened.yml', 'lint-build-docs.yml', 'migrate-prs.yml', 'pr-checks.yml', 'pr-codeql-analysis-javascript.yml', 'pr-codeql-analysis-python.yml', 'pr-commands.yml', 'pr-dependabot-update-go-workspace.yml', 'pr-e2e-tests.yml', 'pr-external-labelling.yml', 'pr-frontend-unit-tests.yml', 'pr-go-workspace-check.yml', 'pr-k8s-codegen-check.yml', 'pr-patch-check-event.yml', 'pr-patch-check.yml', 'pr-test-docker.yml', 'pr-test-integration.yml', 'publish-artifact.yml', 'publish-kinds-next.yml', 'publish-kinds-release.yml', 'publish-technical-documentation-next.yml', 'publish-technical-documentation-release.yml', 'reject-gh-secrets.yml', 'release-build.yml', 'release-comms.yml', 'release-npm.yml', 'release-pr.yml', 'relyance-scan.yml', 'run-dashboard-search-e2e.yml', 'run-schema-v2-e2e.yml', 'scripts', 'shellcheck.yml', 'skye-add-to-project.yml', 'stale.yml', 'storybook-a11y.yml', 'swagger-gen.yml', 'sync-mirror-event.yml', 'trigger-dashboard-search-e2e.yml', 'trivy-scan.yml', 'trufflehog.yml', 'update-make-docs.yml', 'update-schema-types.yml', 'verify-kinds.yml']"
apache/airflow,apache,airflow,8,42841,15793,2025-10-18T13:45:16Z,Python,30,True,False,0,0,0,"['additional-ci-image-checks.yml', 'additional-prod-image-tests.yml', 'airflow-distributions-tests.yml', 'airflow-e2e-tests.yml', 'automatic-backport.yml', 'backport-cli.yml', 'basic-tests.yml', 'ci-amd.yml', 'ci-arm.yml', 'ci-image-build.yml', 'ci-image-checks.yml', 'ci-notification.yml', 'codeql-analysis.yml', 'finalize-tests.yml', 'generate-constraints.yml', 'helm-tests.yml', 'integration-system-tests.yml', 'k8s-tests.yml', 'news-fragment.yml', 'prod-image-build.yml', 'prod-image-extra-checks.yml', 'publish-docs-to-s3.yml', 'push-image-cache.yml', 'recheck-old-bug-report.yml', 'release_dockerhub_image.yml', 'release_single_dockerhub_image.yml', 'run-unit-tests.yml', 'special-tests.yml', 'stale.yml', 'test-providers.yml']"
